order_id,product_id,customer_id,order_date
1,13,18,2024-02-15 15:15
2,19,6,2024-01-03 17:43
3,12,20,2024-03-11 1:13
4,7,20,2024-02-04 12:04
5,14,3,2024-05-02 17:12
6,17,6,2024-02-12 1:46
7,20,4,2024-02-26 2:59
8,4,7,2024-05-02 16:51
9,11,2,2024-01-04 11:09
10,6,9,2024-04-09 15:04
11,3,7,2024-02-21 21:17
12,6,18,2024-02-21 18:50
13,17,11,2024-05-02 16:20
14,11,15,2024-04-20 2:49
15,16,7,2024-01-18 1:12
16,16,16,2024-05-03 11:20
17,14,18,2024-03-26 22:51
18,20,16,2024-05-07 23:25
19,1,12,2024-05-20 12:41
20,20,3,2024-01-17 7:25
